MolecularWeight,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,molecule_chembl_id,canonical_smiles,log_standard_value
366.3630000000001,5.120600000000003,2,2,57.53,4,CHEMBL380778,CC(C(=O)O)c1ccc(-c2ccc(OC3CCCCC3)cc2)c(F)c1,4.6127944491389
637.8650000000004,7.469900000000009,2,4,87.74000000000001,16,CHEMBL180239,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)[nH]n2)ccc1O,2.678518379040114
238.308,2.780800000000001,2,4,57.53,4,CHEMBL4852639,O=c1cc(/C=C/c2ccc(OCCCN3CCCCC3)cc2)occ1O,3.513350798805957
322.368,3.784100000000002,2,6,70.51,5,CHEMBL2179242,O=C(Nc1ccccc1)Nc1ccc(Cl)cc1[N+](=O)[O-],2.954724790979063
286.23900000000003,2.2824000000000004,4,6,111.13,1,CHEMBL3087679,C[C@@H](C(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)[C@H](C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,3.6786094165589263
404.5100000000001,5.257900000000006,2,5,53.96000000000001,8,CHEMBL2203384,Fc1ccc2nc(-c3cnc4[nH]ccc4c3)oc2n1,1.4265112613645752
264.32500000000005,2.4711,3,3,78.43,8,CHEMBL5431087,O=c1ccoc(/C=C/c2ccc(N3CCOCC3)cc2)c1O,4.6934719238588585
202.261,2.0339,2,4,63.83,3,CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,4.481456961417008
258.306,2.5006000000000004,2,6,70.93,2,CHEMBL450553,CCN(CCCCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCCCCN(CC)Cc1ccccc1OC)C3=O)Cc1ccccc1OC,3.986368593570273
458.37500000000017,2.233199999999999,8,11,197.37,3,CHEMBL3087676,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)=CC1=O,3.498448403174
470.92100000000016,4.454100000000004,0,5,69.67,5,CHEMBL3814324,COc1cccc(CNc2nc(N)c3ccccc3n2)c1,4.397957380103888
